2025-05-01,두산 베어스,KT 위즈,잠실 야구장,18:30
2025-05-01,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,18:30
2025-05-01,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,18:30
2025-05-01,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,18:30
2025-05-01,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,18:30
2025-05-02,LG 트윈스,SSG 랜더스,잠실 야구장,18:30
2025-05-02,KT 위즈,키움 히어로즈,수원 KT 위즈 파크,18:30
2025-05-02,삼성 라이온즈,두산 베어스,대구 삼성 라이온즈 파크,18:30
2025-05-02,기아 타이거즈,한화 이글스,광주 기아 챔피언스 필드,18:30
2025-05-02,롯데 자이언츠,NC 다이노스,사직 야구장,18:30
2025-05-03,LG 트윈스,SSG 랜더스,잠실 야구장,17:00
2025-05-03,KT 위즈,키움 히어로즈,수원 KT 위즈 파크,17:00
2025-05-03,삼성 라이온즈,두산 베어스,대구 삼성 라이온즈 파크,17:00
2025-05-03,기아 타이거즈,한화 이글스,광주 기아 챔피언스 필드,17:00
2025-05-03,롯데 자이언츠,NC 다이노스,사직 야구장,17:00
2025-05-04,LG 트윈스,SSG 랜더스,잠실 야구장,14:00
2025-05-04,KT 위즈,키움 히어로즈,수원 KT 위즈 파크,14:00
2025-05-04,삼성 라이온즈,두산 베어스,대구 삼성 라이온즈 파크,14:00
2025-05-04,기아 타이거즈,한화 이글스,광주 기아 챔피언스 필드,14:00
2025-05-04,롯데 자이언츠,NC 다이노스,사직 야구장,14:00
2025-05-05,두산 베어스,LG 트윈스,잠실 야구장,14:00
2025-05-05,키움 히어로즈,기아 타이거즈,고척 스카이 돔,14:00
2025-05-05,한화 이글스,삼성 라이온즈,대전 한화 생명 볼 파크,14:00
2025-05-05,롯데 자이언츠,SSG 랜더스,사직 야구장,14:00
2025-05-05,NC 다이노스,KT 위즈,창원 NC 베이스볼 파크,14:00
2025-05-06,두산 베어스,LG 트윈스,잠실 야구장,14:00
2025-05-06,키움 히어로즈,기아 타이거즈,고척 스카이 돔,14:00
2025-05-06,한화 이글스,삼성 라이온즈,대전 한화 생명 볼 파크,14:00
2025-05-06,롯데 자이언츠,SSG 랜더스,사직 야구장,14:00
2025-05-06,NC 다이노스,KT 위즈,창원 NC 베이스볼 파크,14:00
2025-05-07,두산 베어스,LG 트윈스,잠실 야구장,18:30
2025-05-07,키움 히어로즈,기아 타이거즈,고척 스카이 돔,18:30
2025-05-07,한화 이글스,삼성 라이온즈,대전 한화 생명 볼 파크,18:30
2025-05-07,롯데 자이언츠,SSG 랜더스,사직 야구장,18:30
2025-05-07,NC 다이노스,KT 위즈,창원 NC 베이스볼 파크,18:30
2025-05-09,두산 베어스,NC 다이노스,잠실 야구장,18:30
2025-05-09,키움 히어로즈,한화 이글스,고척 스카이 돔,18:30
2025-05-09,SSG 랜더스,기아 타이거즈,인천 SSG 랜더스 필드,18:30
2025-05-09,KT 위즈,롯데 자이언츠,수원 KT 위즈 파크,18:30
2025-05-09,삼성 라이온즈,LG 트윈스,대구 삼성 라이온즈 파크,18:30
2025-05-10,두산 베어스,NC 다이노스,잠실 야구장,17:00
2025-05-10,키움 히어로즈,한화 이글스,고척 스카이 돔,17:00
2025-05-10,SSG 랜더스,기아 타이거즈,인천 SSG 랜더스 필드,17:00
2025-05-10,KT 위즈,롯데 자이언츠,수원 KT 위즈 파크,17:00
2025-05-10,삼성 라이온즈,LG 트윈스,대구 삼성 라이온즈 파크,17:00
2025-05-11,두산 베어스,NC 다이노스,잠실 야구장,14:00
2025-05-11,키움 히어로즈,한화 이글스,고척 스카이 돔,14:00
2025-05-11,SSG 랜더스,기아 타이거즈,인천 SSG 랜더스 필드,14:00
2025-05-11,KT 위즈,롯데 자이언츠,수원 KT 위즈 파크,14:00
2025-05-11,삼성 라이온즈,LG 트윈스,대구 삼성 라이온즈 파크,14:00
2025-05-13,LG 트윈스,키움 히어로즈,잠실 야구장,18:30
2025-05-13,SSG 랜더스,NC 다이노스,인천 SSG 랜더스 필드,18:30
2025-05-13,한화 이글스,두산 베어스,대전 한화 생명 볼 파크,18:30
2025-05-13,삼성 라이온즈,KT 위즈,대구 삼성 라이온즈 파크,18:30
2025-05-13,기아 타이거즈,롯데 자이언츠,광주 기아 챔피언스 필드,18:30
2025-05-14,LG 트윈스,키움 히어로즈,잠실 야구장,18:30
2025-05-14,SSG 랜더스,NC 다이노스,인천 SSG 랜더스 필드,18:30
2025-05-14,한화 이글스,두산 베어스,대전 한화 생명 볼 파크,18:30
2025-05-14,삼성 라이온즈,KT 위즈,대구 삼성 라이온즈 파크,18:30
2025-05-14,기아 타이거즈,롯데 자이언츠,광주 기아 챔피언스 필드,18:30
2025-05-15,LG 트윈스,키움 히어로즈,잠실 야구장,18:30
2025-05-15,SSG 랜더스,NC 다이노스,인천 SSG 랜더스 필드,18:30
2025-05-15,한화 이글스,두산 베어스,대전 한화 생명 볼 파크,18:30
2025-05-15,삼성 라이온즈,KT 위즈,대구 삼성 라이온즈 파크,18:30
2025-05-15,기아 타이거즈,롯데 자이언츠,광주 기아 챔피언스 필드,18:30
2025-05-16,두산 베어스,KT 위즈,잠실 야구장,18:30
2025-05-16,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,18:30
2025-05-16,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,18:30
2025-05-16,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,18:30
2025-05-16,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,18:30
2025-05-17,두산 베어스,KT 위즈,잠실 야구장,17:00
2025-05-17,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,17:00
2025-05-17,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,17:00
2025-05-17,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,17:00
2025-05-17,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,17:00
2025-05-18,두산 베어스,KT 위즈,잠실 야구장,14:00
2025-05-18,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,14:00
2025-05-18,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,14:00
2025-05-18,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,14:00
2025-05-18,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,14:00
2025-05-19,두산 베어스,KT 위즈,잠실 야구장,18:30
2025-05-19,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,18:30
2025-05-19,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,18:30
2025-05-19,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,18:30
2025-05-19,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,18:30
2025-05-20,두산 베어스,KT 위즈,잠실 야구장,18:30
2025-05-20,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,18:30
2025-05-20,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,18:30
2025-05-20,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,18:30
2025-05-20,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,18:30
2025-05-21,두산 베어스,KT 위즈,잠실 야구장,18:30
2025-05-21,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,18:30
2025-05-21,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,18:30
2025-05-21,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,18:30
2025-05-21,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,18:30
2025-05-22,두산 베어스,KT 위즈,잠실 야구장,18:30
2025-05-22,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,18:30
2025-05-22,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,18:30
2025-05-22,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,18:30
2025-05-22,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,18:30
2025-05-23,두산 베어스,KT 위즈,잠실 야구장,18:30
2025-05-23,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,18:30
2025-05-23,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,18:30
2025-05-23,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,18:30
2025-05-23,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,18:30
2025-05-24,두산 베어스,KT 위즈,잠실 야구장,17:00
2025-05-24,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,17:00
2025-05-24,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,17:00
2025-05-24,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,17:00
2025-05-24,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,17:00
2025-05-25,두산 베어스,KT 위즈,잠실 야구장,14:00
2025-05-25,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,14:00
2025-05-25,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,14:00
2025-05-25,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,14:00
2025-05-25,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,14:00
2025-05-26,두산 베어스,KT 위즈,잠실 야구장,18:30
2025-05-26,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,18:30
2025-05-26,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,18:30
2025-05-26,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,18:30
2025-05-26,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,18:30
2025-05-27,두산 베어스,KT 위즈,잠실 야구장,18:30
2025-05-27,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,18:30
2025-05-27,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,18:30
2025-05-27,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,18:30
2025-05-27,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,18:30
2025-05-28,두산 베어스,KT 위즈,잠실 야구장,18:30
2025-05-28,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,18:30
2025-05-28,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,18:30
2025-05-28,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,18:30
2025-05-28,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,18:30
2025-05-29,두산 베어스,KT 위즈,잠실 야구장,18:30
2025-05-29,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,18:30
2025-05-29,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,18:30
2025-05-29,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,18:30
2025-05-29,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,18:30
2025-05-30,두산 베어스,KT 위즈,잠실 야구장,18:30
2025-05-30,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,18:30
2025-05-30,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,18:30
2025-05-30,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,18:30
2025-05-30,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,18:30
2025-05-31,두산 베어스,KT 위즈,잠실 야구장,18:30
2025-05-31,키움 히어로즈,롯데 자이언츠,고척 스카이 돔,18:30
2025-05-31,SSG 랜더스,삼성 라이온즈,인천 SSG 랜더스 필드,18:30
2025-05-31,한화 이글스,LG 트윈스,대전 한화 생명 볼 파크,18:30
2025-05-31,NC 다이노스,기아 타이거즈,창원 NC 베이스볼 파크,18:30
